1	1	1.1	0	122678785	gneg
2	2	2.2	0	85426708	gneg
3	3	3.3	0	91889043	gneg
4	4	4.4	0	88276631	gneg
5	5	5.5	0	88915250	gneg
6	6	6.6	0	77573801	gneg
7	7	7.7	0	80974532	gneg
8	8	8.8	0	74330416	gneg
9	9	9.9	0	61074082	gneg
10	10	10.10	0	69331447	gneg
11	11	11.11	0	74389097	gneg
12	12	12.12	0	72498081	gneg
13	13	13.13	0	63241923	gneg
14	14	14.14	0	60966679	gneg
15	15	15.15	0	64190966	gneg
16	16	16.16	0	59632846	gneg
17	17	17.17	0	64289059	gneg
18	18	18.18	0	55844845	gneg
19	19	19.19	0	53741614	gneg
20	20	20.20	0	58134056	gneg
21	21	21.21	0	50858623	gneg
22	22	22.22	0	61439934	gneg
23	23	23.23	0	52294480	gneg
24	24	24.24	0	47698779	gneg
25	25	25.25	0	51628933	gneg
26	26	26.26	0	38964690	gneg
27	27	27.27	0	45876710	gneg
28	28	28.28	0	41182112	gneg
29	29	29.29	0	41845238	gneg
30	30	30.30	0	40214260	gneg
31	31	31.31	0	39895921	gneg
32	32	32.32	0	38810281	gneg
33	33	33.33	0	31377067	gneg
34	34	34.34	0	42124431	gneg
35	35	35.35	0	26524999	gneg
36	36	36.36	0	30810995	gneg
37	37	37.37	0	30902991	gneg
38	38	38.38	0	23914537	gneg
MT	39	MT.39	0	16727	gneg
X	40	X.40	0	123869142	gneg
